#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 20546019, SEN S/N: 20546019, LBL: Temperature, -UV)","Intensity, Lux (LGR S/N: 20546019, SEN S/N: 20546019, LBL: Light Intensity, -UV)"
1,2/9/19 16:00,9.571,3100
2,2/9/19 16:30,6.471,2755.6
3,2/9/19 17:00,4.727,1550
4,2/9/19 17:30,3.472,215.3
5,2/9/19 18:00,1.872,0
6,2/9/19 18:30,1.112,0
7,2/9/19 19:00,0.784,0
8,2/9/19 19:30,0.674,0
9,2/9/19 20:00,0.784,0
10,2/9/19 20:30,0.01,0
11,2/9/19 21:00,-0.774,0
12,2/9/19 21:30,-1.228,0
13,2/9/19 22:00,-1.228,0
14,2/9/19 22:30,-1.114,0
15,2/9/19 23:00,-0.887,0
16,2/9/19 23:30,-0.437,0
17,2/10/19 0:00,-0.549,0
18,2/10/19 0:30,-0.662,0
19,2/10/19 1:00,-1.341,0
20,2/10/19 1:30,-1.799,0
21,2/10/19 2:00,-1.914,0
22,2/10/19 2:30,-1.456,0
23,2/10/19 3:00,-1.57,0
24,2/10/19 3:30,-1.341,0
25,2/10/19 4:00,-1.341,0
26,2/10/19 4:30,-1.799,0
27,2/10/19 5:00,-1.341,0
28,2/10/19 5:30,-1.799,0
29,2/10/19 6:00,-1.799,0
30,2/10/19 6:30,-2.261,247.6
31,2/10/19 7:00,-2.03,2497.2
32,2/10/19 7:30,-1.341,3616.7
33,2/10/19 8:00,-0.213,10333.4
34,2/10/19 8:30,0.343,8611.2
35,2/10/19 9:00,0.563,5166.7
36,2/10/19 9:30,1.003,5511.1
37,2/10/19 10:00,2.517,8611.2
38,2/10/19 10:30,14.134,137778.7
39,2/10/19 11:00,21.951,165334.4
40,2/10/19 11:30,26.488,176356.7
41,2/10/19 12:00,29.152,176356.7
42,2/10/19 12:30,30.862,170845.6
43,2/10/19 13:00,30.76,159823.3
44,2/10/19 13:30,29.953,143289.8
45,2/10/19 14:00,27.764,121245.2
46,2/10/19 14:30,27.961,104711.8
47,2/10/19 15:00,22.812,85422.8
48,2/10/19 15:30,16.713,18600.1
49,2/10/19 16:00,11.334,23422.4
50,2/10/19 16:30,8.879,9644.5
51,2/10/19 17:00,6.471,2238.9
52,2/10/19 17:30,5.655,150.7
53,2/10/19 18:00,4.415,0
54,2/10/19 18:30,3.261,0
55,2/10/19 19:00,2.195,0
56,2/10/19 19:30,1.439,0
57,2/10/19 20:00,1.548,0
58,2/10/19 20:30,1.221,0
59,2/10/19 21:00,0.784,0
60,2/10/19 21:30,-0.102,0
61,2/10/19 22:00,-0.887,0
62,2/10/19 22:30,-0.887,0
