site,measure,metric,treatment
1,1720,PAR,Site Reference
2,1820,PAR,Site Reference
3,1570,PAR,Site Reference
4,2020,PAR,Site Reference
5,1770,PAR,Site Reference
6,1640,PAR,Site Reference
7,1950,PAR,Site Reference
8,1794,PAR,Site Reference
9,1734,PAR,Site Reference
10,,PAR,Site Reference
11,1060,PAR,Site Reference
12,765,PAR,Site Reference
13,1121,PAR,Site Reference
14,1270,PAR,Site Reference
15,1062,PAR,Site Reference
16,1242,PAR,Site Reference
17,1411,PAR,Site Reference
18,1422,PAR,Site Reference
19,1356,PAR,Site Reference
20,1243,PAR,Site Reference
1,1500,PAR,UV Filtering
2,1565,PAR,UV Filtering
3,1550,PAR,UV Filtering
4,1875,PAR,UV Filtering
5,1605,PAR,UV Filtering
6,1670,PAR,UV Filtering
7,1860,PAR,UV Filtering
8,1612,PAR,UV Filtering
9,1505,PAR,UV Filtering
10,,PAR,UV Filtering
11,861,PAR,UV Filtering
12,652,PAR,UV Filtering
13,880,PAR,UV Filtering
14,1276,PAR,UV Filtering
15,1052,PAR,UV Filtering
16,1028,PAR,UV Filtering
17,1120,PAR,UV Filtering
18,1124,PAR,UV Filtering
19,1191,PAR,UV Filtering
20,1223,PAR,UV Filtering
1,1425,PAR,UV Transmitting
2,1500,PAR,UV Transmitting
3,1520,PAR,UV Transmitting
4,1785,PAR,UV Transmitting
5,1707,PAR,UV Transmitting
6,1425,PAR,UV Transmitting
7,1978,PAR,UV Transmitting
8,1365,PAR,UV Transmitting
9,1710,PAR,UV Transmitting
10,,PAR,UV Transmitting
11,884,PAR,UV Transmitting
12,580,PAR,UV Transmitting
13,1260,PAR,UV Transmitting
14,1330,PAR,UV Transmitting
15,1030,PAR,UV Transmitting
16,945,PAR,UV Transmitting
17,1253,PAR,UV Transmitting
18,1109,PAR,UV Transmitting
19,1257,PAR,UV Transmitting
20,1462,PAR,UV Transmitting
1,124.6,UV,Site Reference
2,128.6,UV,Site Reference
3,112.5,UV,Site Reference
4,139,UV,Site Reference
5,134.5,UV,Site Reference
6,104.6,UV,Site Reference
7,160,UV,Site Reference
8,133.3,UV,Site Reference
9,131.4,UV,Site Reference
10,,UV,Site Reference
11,66,UV,Site Reference
12,6,UV,Site Reference
13,78.2,UV,Site Reference
14,90.9,UV,Site Reference
15,75.4,UV,Site Reference
16,92,UV,Site Reference
17,101.3,UV,Site Reference
18,96.5,UV,Site Reference
19,125.8,UV,Site Reference
20,99.1,UV,Site Reference
1,1.8,UV,UV Filtering
2,2.1,UV,UV Filtering
3,1.6,UV,UV Filtering
4,2.1,UV,UV Filtering
5,2.4,UV,UV Filtering
6,1.5,UV,UV Filtering
7,2,UV,UV Filtering
8,2.6,UV,UV Filtering
9,2.5,UV,UV Filtering
10,,UV,UV Filtering
11,1.2,UV,UV Filtering
12,1.1,UV,UV Filtering
13,1.2,UV,UV Filtering
14,1.3,UV,UV Filtering
15,1.2,UV,UV Filtering
16,1.3,UV,UV Filtering
17,1.2,UV,UV Filtering
18,1.3,UV,UV Filtering
19,1.6,UV,UV Filtering
20,1.3,UV,UV Filtering
1,97.2,UV,UV Transmitting
2,103.3,UV,UV Transmitting
3,101.6,UV,UV Transmitting
4,121,UV,UV Transmitting
5,115.2,UV,UV Transmitting
6,88.5,UV,UV Transmitting
7,151.5,UV,UV Transmitting
8,95,UV,UV Transmitting
9,120,UV,UV Transmitting
10,,UV,UV Transmitting
11,53.3,UV,UV Transmitting
12,44.1,UV,UV Transmitting
13,75.3,UV,UV Transmitting
14,81.1,UV,UV Transmitting
15,65.2,UV,UV Transmitting
16,66.3,UV,UV Transmitting
17,84.6,UV,UV Transmitting
18,83.2,UV,UV Transmitting
19,98.3,UV,UV Transmitting
20,90.7,UV,UV Transmitting
