site,Fv/Fm,Fo,Fm,e'PS2R,NPQ,Time,Treatment,Exp
11,0.076,78,79,0.033,0.565,0,UV Filtered,Field
12,0.013,43,49,0.033,0.317,0,UV Filtered,Field
13,0.122,113,118,0.114,0.4,0,UV Filtered,Field
14,0.042,75,79,0.042,0.229,0,UV Filtered,Field
15,0.051,119,115,0.055,0.082,0,UV Filtered,Field
16,0,143,143,0.038,0.456,0,UV Filtered,Field
17,0,233,244,0.016,0.135,0,UV Filtered,Field
18,0.045,238,249,0.02,0.202,0,UV Filtered,Field
19,0.044,139,144,0.019,0.203,0,UV Filtered,Field
1,0.035,123,128,0,0.171,0,UV Filtered,Field
20,0.039,118,129,0.009,0.103,0,UV Filtered,Field
2,0.085,223,223,0.078,0.252,0,UV Filtered,Field
3,0,129,130,0,0.168,0,UV Filtered,Field
4,0.008,159,157,0,0.327,0,UV Filtered,Field
5,0,162,168,0.022,0.138,0,UV Filtered,Field
6,0.036,188,203,0.017,0.4,0,UV Filtered,Field
7,0.074,107,118,0.034,0.16,0,UV Filtered,Field
8,0.093,141,151,0.012,0.457,0,UV Filtered,Field
9,0.066,155,149,0.029,0.079,0,UV Filtered,Field
11,0.061,153,163,0.026,0.045,0,UV Transmitted,Field
12,0.044,109,114,0,0.152,0,UV Transmitted,Field
13,0.162,165,197,0.035,0.368,0,UV Transmitted,Field
14,0.008,130,131,0.009,0.202,0,UV Transmitted,Field
15,0.011,186,188,0.062,0.168,0,UV Transmitted,Field
16,0.017,177,180,0.03,0.065,0,UV Transmitted,Field
17,0.033,58,60,0.116,0.395,0,UV Transmitted,Field
18,0,77,66,0.058,0.269,0,UV Transmitted,Field
19,0.067,139,149,0.029,0.064,0,UV Transmitted,Field
1,0.076,110,119,0,0.072,0,UV Transmitted,Field
20,0.043,111,116,0.025,0,0,UV Transmitted,Field
2,0.103,70,78,0.15,0.95,0,UV Transmitted,Field
3,0,94,86,0.024,0.049,0,UV Transmitted,Field
4,0.12,139,158,0.058,0.306,0,UV Transmitted,Field
5,0,116,106,0,0,0,UV Transmitted,Field
6,0.056,119,126,0.034,0.416,0,UV Transmitted,Field
7,0.013,157,159,0.045,0.432,0,UV Transmitted,Field
8,0.026,190,195,0.02,0.291,0,UV Transmitted,Field
9,0.091,90,99,0.05,0.237,0,UV Transmitted,Field
11,0.18,50,61,0.068,0.034,0,Site Reference,Field
12,0.045,128,134,0.066,0.763,0,Site Reference,Field
13,0.054,87,92,0.066,0.508,0,Site Reference,Field
14,0.172,82,99,0.048,0.193,0,Site Reference,Field
15,0,71,71,0.167,0.076,0,Site Reference,Field
16,0,76,74,0,0,0,Site Reference,Field
17,0.027,181,186,0.018,0.141,0,Site Reference,Field
18,0.023,127,130,0.036,0.161,0,Site Reference,Field
19,0.083,99,108,0.071,0.543,0,Site Reference,Field
1,0.123,50,57,0.039,0.118,0,Site Reference,Field
20,0.104,60,67,0.047,0.558,0,Site Reference,Field
2,0.098,37,41,0.096,0,0,Site Reference,Field
3,0.148,92,108,0.056,0.521,0,Site Reference,Field
4,0.104,112,125,0.086,0.543,0,Site Reference,Field
5,0.041,118,123,0.025,0.025,0,Site Reference,Field
6,0.055,86,91,0.069,0.046,0,Site Reference,Field
7,0.014,69,70,0.06,0.4,0,Site Reference,Field
8,0.242,25,33,0.227,0.5,0,Site Reference,Field
9,0.531,15,32,0.125,1,0,Site Reference,Field
11,0.587,243,588,0.36,1.649,24,UV Filtered,Field
12,0.29,132,186,0.195,1.138,24,UV Filtered,Field
13,0.581,124,296,0.383,1.099,24,UV Filtered,Field
14,0.554,203,455,0.358,1.758,24,UV Filtered,Field
15,0.353,139,215,0.218,0.463,24,UV Filtered,Field
16,0.518,240,498,0.301,2.055,24,UV Filtered,Field
17,0.494,260,514,0.317,0.611,24,UV Filtered,Field
18,0.551,363,809,0.344,0.931,24,UV Filtered,Field
19,0.68,249,777,0.45,1.106,24,UV Filtered,Field
1,0.499,239,477,0.275,1.083,24,UV Filtered,Field
20,0.543,137,300,0.341,0.31,24,UV Filtered,Field
2,0.592,225,551,0.363,2.078,24,UV Filtered,Field
3,0.572,352,823,0.366,1.338,24,UV Filtered,Field
4,0.565,246,565,0.306,1.278,24,UV Filtered,Field
5,0.458,318,587,0.275,1.446,24,UV Filtered,Field
6,0.609,116,297,0.378,0.605,24,UV Filtered,Field
7,0.607,296,754,0.36,1.424,24,UV Filtered,Field
8,0.567,119,275,0.371,0.185,24,UV Filtered,Field
9,0.495,333,659,0.293,1.723,24,UV Filtered,Field
11,0.681,178,558,0.463,0.86,24,UV Transmitted,Field
12,0.532,168,359,0.335,0.88,24,UV Transmitted,Field
13,0.662,180,532,0.43,1.333,24,UV Transmitted,Field
14,0.594,130,320,0.416,1.148,24,UV Transmitted,Field
15,0.569,242,561,0.345,1.125,24,UV Transmitted,Field
16,0.55,285,633,0.331,1.302,24,UV Transmitted,Field
17,0.649,108,308,0.495,2.175,24,UV Transmitted,Field
18,0.59,154,376,0.436,1.523,24,UV Transmitted,Field
19,0.615,204,530,0.403,0.721,24,UV Transmitted,Field
1,0.5,264,528,0.256,0.671,24,UV Transmitted,Field
20,0.613,130,336,0.413,0.826,24,UV Transmitted,Field
2,0.612,126,325,0.421,1.579,24,UV Transmitted,Field
3,0.568,174,403,0.343,1.303,24,UV Transmitted,Field
4,0.694,205,670,0.471,0.791,24,UV Transmitted,Field
5,0.504,273,550,0.308,1.292,24,UV Transmitted,Field
6,0.588,141,342,0.367,1.672,24,UV Transmitted,Field
7,0.633,216,589,0.38,1.31,24,UV Transmitted,Field
8,0.634,211,576,0.412,1.065,24,UV Transmitted,Field
9,0.587,199,482,0.375,2.013,24,UV Transmitted,Field
11,0.685,29,92,0.474,0,24,Site Reference,Field
12,0.631,59,160,0.482,0.135,24,Site Reference,Field
13,0.71,107,369,0.475,1.016,24,Site Reference,Field
14,0.665,186,556,0.412,1.317,24,Site Reference,Field
15,0.58,154,367,0.366,1.134,24,Site Reference,Field
16,0.578,182,431,0.359,1.092,24,Site Reference,Field
17,0.618,270,707,0.396,1.155,24,Site Reference,Field
18,0.607,155,394,0.364,0.841,24,Site Reference,Field
19,0.716,29,102,0.494,-0.37,24,Site Reference,Field
1,0.614,157,407,0.462,1.576,24,Site Reference,Field
20,0.569,124,288,0.41,1.149,24,Site Reference,Field
2,0.573,108,253,0.366,0.931,24,Site Reference,Field
3,0.632,139,378,0.412,1.363,24,Site Reference,Field
4,0.683,151,477,0.471,1.338,24,Site Reference,Field
5,0.647,220,623,0.427,1.585,24,Site Reference,Field
6,0.646,199,562,0.438,0.892,24,Site Reference,Field
7,0.618,141,369,0.401,0.922,24,Site Reference,Field
8,0.597,81,201,0.451,1.209,24,Site Reference,Field
9,0.626,70,187,0.408,1.634,24,Site Reference,Field
11,0.795,210,1026,0.581,1.137,192,UV Filtered,Field
12,0.742,144,558,0.536,1.138,192,UV Filtered,Field
