Sample,Site,Treatment Group,Data Type,Treatment ,neoxanthin,violaxanthin,antheraxanthin,lutein,zeaxanthin,chlorophyll b,beta-carotene.sum,beta-tocopherol,alpha-tocopherol,V+A+Z,A+Z/V+A+Z,total carotenoids,total tocopherols
1A,1,A,sample,UV Filtered,86.98712169,17.84458324,36.27467497,505.5492162,186.1780328,277.212175,267.0037062,6.072712024,20.94624374,240.297291,0.925739557,1099.837335,27.01895576
1A-2,1,A,sample,UV Filtered,98.91391324,25.53482872,39.47524783,427.2655474,137.0921487,373.9340466,168.7564817,3.751183775,15.01308328,202.1022252,0.873653896,897.0381676,18.76426705
1A-3,1,A,sample,UV Filtered,82.52974948,15.87569234,33.25018308,500.6365273,175.146396,346.2585154,200.8945123,6.189150587,22.962735,224.2722714,0.929212416,1008.33306,29.15188558
1A-mean,1,A,mean,UV Filtered,89.47692813,19.75170144,36.33336863,477.817097,166.1388592,332.4682457,212.2182334,5.337682129,19.64068734,222.2239292,0.90953529,1001.736188,24.97836947
1A-dev,1,A,dev,UV Filtered,6.916625267,4.167537543,2.541710908,35.8015642,21.02709039,40.67274897,40.90068682,1.122830428,3.37417632,15.66019459,0.025411559,82.92371848,4.479482784
1B,1,B,sample,UV Transmitted,122.6580423,26.89396455,49.57013139,661.3208022,248.9761674,266.9186802,330.3159115,11.43137381,36.45003417,325.4402633,0.917361287,1439.735019,47.88140798
1B-2,1,B,sample,UV Transmitted,120.401834,26.78569968,49.2495016,549.2265317,207.4121655,283.4677542,162.6846554,7.287699856,18.87723267,283.4473668,0.90550027,1115.760388,26.16493253
1B-3,1,B,sample,UV Transmitted,92.57938504,17.36148855,39.72659569,564.5689212,209.4645397,351.272426,146.3969413,7.355641621,18.90301465,266.552624,0.934866563,1070.097872,26.25865627
1B-mean,1,B,mean,UV Transmitted,111.8797538,23.68038426,46.18207623,591.7054184,221.9509575,300.5529535,213.1325028,8.691571762,24.74342716,291.813418,0.919242707,1208.531093,33.43499892
1B-dev,1,B,dev,UV Transmitted,13.67846956,4.46835261,4.566590453,49.62239732,19.12806899,36.4949004,83.12755611,1.937531154,8.27782789,24.75791626,0.012062327,164.5452481,10.21522546
1C,1,C,sample,Site Reference,137.6929727,21.41691096,52.83412807,745.1070105,270.3742314,285.8087965,699.4611445,10.9797209,40.38361589,344.6252704,0.937854496,1926.886398,51.36333679
1C-2,1,C,sample,Site Reference,95.63756606,16.03128898,41.18566184,510.7247736,193.7751917,244.8021905,332.4976138,4.937425056,17.7389193,250.9921426,0.936128323,1189.852096,22.67634435
1C-3,1,C,sample,Site Reference,98.27106694,14.63174807,35.73875565,486.3324377,197.28734,304.482168,242.0007351,5.182321475,18.24492217,247.6578437,0.940919505,1074.262083,23.42724364
1C-mean,1,C,mean,Site Reference,110.5338686,17.35998267,43.25284852,580.7214073,220.478921,278.364385,424.6531645,7.03315581,25.45581912,281.0917522,0.938300775,1397.000193,32.48897493
1C-dev,1,C,dev,Site Reference,19.23445752,2.925027527,7.130586001,116.6639517,35.31043558,24.92641673,197.7995461,2.792433297,10.55756749,44.94559924,0.001981284,377.6460476,13.34970947
2A (outlier),2,A,sample,UV Filtered,121.4857061,37.22559957,65.11737032,642.1768246,259.1026739,226.5626028,315.7446289,14.56598827,27.79878037,361.4456438,0.897009135,1440.852803,42.36476863
2A-2,2,A,sample,UV Filtered,73.43823401,14.93002246,50.06976654,541.9688435,167.4672149,352.3215986,483.3613978,5.884769848,25.79811208,232.467004,0.935775735,1331.235479,31.68288193
2A-3,2,A,sample,UV Filtered,96.2828234,24.7096792,39.4318244,394.8541577,138.9034037,246.9411374,285.2098402,3.293431485,13.4721819,203.0449073,0.878304364,979.3917287,16.76561338
2A-4,2,A,sample,UV Filtered,89.57468938,18.14267571,41.37476851,550.7793322,167.7383255,396.1993483,275.1184298,6.052158492,22.07946108,227.2557697,0.92016627,1142.728221,28.13161957
2A-mean,2,A,mean,UV Filtered,86.4319156,19.26079246,43.62545315,495.8674445,158.0363147,331.8206948,347.8965559,5.076786608,20.44991835,220.9225603,0.911415456,1151.118476,25.52670496
2A-dev,2,A,dev,UV Filtered,9.587373167,4.070058173,4.625338855,71.51768663,13.52946385,62.63502039,95.8766627,1.262872747,5.16227959,12.8191809,0.024264819,143.7620801,6.362410985
