Sample,Site,Treatment Group,Data Type,Treatment ,neoxanthin,violaxanthin,antheraxanthin,lutein,zeaxanthin,chlorophyll b,chlorophyll a,beta-carotene.sum,beta-tocopherol,alpha-tocopherol,V+A+Z,total carotenoids,total chlorophylls,total tocopherols
1A,1,A,sample,UV Filtered,3.659457715,0.750703053,1.526037839,21.26792959,7.832316155,11.66202782,42.06895968,11.23256815,22.47574657,77.52425343,10.10905705,46.2690125,53.7309875,77.52425343
1A-2,1,A,sample,UV Filtered,4.35557567,1.124400755,1.738253229,18.81421291,6.036716249,16.46581338,44.03400419,7.431023623,19.99110205,80.00889795,8.899370233,39.50018243,60.49981757,80.00889795
1A-3,1,A,sample,UV Filtered,3.505055837,0.674243996,1.412142276,21.26213873,7.438504316,14.70567206,42.47021056,8.532032236,21.23070417,78.76929583,9.524890589,42.82411739,57.17588261,78.76929583
1A-mean,1,A,mean,UV Filtered,3.840029741,0.849782601,1.558811115,20.44809374,7.10251224,14.27783775,42.85772481,9.065208003,21.2325176,78.7674824,9.511105956,42.86443744,57.13556256,78.7674824
1A-dev,1,A,dev,UV Filtered,0.369955573,0.196677137,0.135136114,1.155330637,0.770589715,1.984333738,0.847732448,1.597110411,1.014352689,1.014352689,0.493948755,2.763510378,2.763510378,1.014352689
1B,1,B,sample,UV Transmitted,4.531722781,0.99362414,1.831417569,24.43315162,9.198670942,9.86157484,36.94598981,12.2038483,23.87434767,76.12565233,12.02371265,53.19243535,46.80756465,76.12565233
1B-2,1,B,sample,UV Transmitted,5.018357026,1.116429872,2.052722738,22.891801,8.644953844,11.8149562,41.68007129,6.780708034,27.85292815,72.14707185,11.81410645,46.50497251,53.49502749,72.14707185
1B-3,1,B,sample,UV Transmitted,3.82342945,0.717010883,1.640665855,23.31609179,8.650661154,14.50717498,41.298929,6.046036886,28.0122545,71.9877455,11.00833789,44.19389602,55.80610398,71.9877455
1B-mean,1,B,mean,UV Transmitted,4.457836419,0.942354965,1.841602054,23.5470148,8.831428647,12.06123534,39.9749967,8.343531074,26.57984344,73.42015656,11.61538567,47.96376796,52.03623204,73.42015656
1B-dev,1,B,dev,UV Transmitted,0.490616873,0.167043464,0.168375595,0.650094614,0.25968997,1.904536729,2.147475947,2.746084758,1.914179848,1.914179848,0.437693911,3.815712309,3.815712309,1.914179848
1C,1,C,sample,Site Reference,4.285902158,0.666633766,1.644542195,23.19258334,8.415807134,8.89623133,31.12651339,21.77178668,21.37657245,78.62342755,10.72698309,59.97725528,40.02274472,78.62342755
1C-2,1,C,sample,Site Reference,3.928178493,0.658462644,1.691643124,20.97730164,7.959043418,10.05490561,41.0735933,13.65687176,21.77346127,78.22653873,10.30914919,48.87150109,51.12849891,78.22653873
