Pigment,Treatment,Site,mean,n,sd
neoxanthin,UV Filtered,1,3.8400297406666666,3,0.453101190598314
neoxanthin,UV Filtered,11,3.71933621425,4,1.3817420862114098
neoxanthin,UV Filtered,12,4.294058208333333,3,1.208750772529686
neoxanthin,UV Filtered,13,4.138732101333334,3,0.5859013898288459
neoxanthin,UV Filtered,14,4.091358182666666,3,0.43161541843493645
neoxanthin,UV Filtered,15,3.7532377003333335,3,0.8044156591855528
neoxanthin,UV Filtered,16,4.145129011,3,0.35201551597331937
neoxanthin,UV Filtered,17,4.716050143,3,0.5359900357657686
neoxanthin,UV Filtered,18,4.379264648666666,3,0.5415426786242735
neoxanthin,UV Filtered,19,4.892302841,3,0.3125564164762663
neoxanthin,UV Filtered,2,3.78595375025,4,0.8263365402013425
neoxanthin,UV Filtered,20,4.540341417333334,3,0.08849980092047015
neoxanthin,UV Filtered,3,4.652860965666666,3,0.0256183482744089
neoxanthin,UV Filtered,4,4.31668182875,4,0.23720025642391576
neoxanthin,UV Filtered,5,4.070542906666667,3,0.24336676120909653
neoxanthin,UV Filtered,6,4.150413518333333,3,0.3152047820317744
neoxanthin,UV Filtered,7,3.9073509626666665,3,0.1517689436370138
neoxanthin,UV Filtered,8,4.566143352,3,0.2980865164676447
neoxanthin,UV Filtered,9,4.642656972,3,0.24435064593642544
neoxanthin,UV Transmitted,1,4.457836419,3,0.6008804988003068
neoxanthin,UV Transmitted,11,3.96957827,3,0.3618858267910359
neoxanthin,UV Transmitted,12,4.302766159,3,0.3142819702101657
neoxanthin,UV Transmitted,13,4.844459097,3,0.4649167284903437
neoxanthin,UV Transmitted,14,4.380196677,3,0.3352972633675787
neoxanthin,UV Transmitted,15,4.650277958666667,3,0.4385704206812357
neoxanthin,UV Transmitted,16,4.623130136666666,3,0.131412507240601
neoxanthin,UV Transmitted,17,4.85742117,3,0.5071543090230142
neoxanthin,UV Transmitted,18,4.4452992545,4,0.2262091111464968
neoxanthin,UV Transmitted,19,4.296804427666666,3,0.29546298377215324
neoxanthin,UV Transmitted,2,4.328119637,3,0.6955643786232812
neoxanthin,UV Transmitted,20,4.531416941,3,0.17731478961446723
neoxanthin,UV Transmitted,3,4.687310907333333,3,0.2673685837473584
neoxanthin,UV Transmitted,4,4.874289628333333,3,0.3724347489120662
neoxanthin,UV Transmitted,5,4.379985672666667,3,0.09207412566128817
neoxanthin,UV Transmitted,6,4.355356761333333,3,0.8759474376623113
neoxanthin,UV Transmitted,7,4.502472162666667,3,0.6997396711920605
neoxanthin,UV Transmitted,8,5.003330932,3,0.08250915288662236
neoxanthin,UV Transmitted,9,4.844764727,3,0.9082060345681409
neoxanthin,Site Reference,1,4.115098937333333,3,0.17940562644270405
neoxanthin,Site Reference,11,3.6328390007499998,4,0.49325105629200233
neoxanthin,Site Reference,12,3.473759175,3,0.1406068246270866
neoxanthin,Site Reference,13,4.219565524333333,3,0.14894371171108212
neoxanthin,Site Reference,14,4.039691627333333,3,0.43497136773415035
neoxanthin,Site Reference,15,4.384846489333333,3,0.8561110384454005
