"","names","transcript_id","cell_components_terms","mol_functions_terms","bio_process_terms","length"
"1","Sc_g00001: protein CHAPERONE-LIKE PROTEIN OF POR1, chloroplastic","Sc_g00001"," chloroplast envelope, integral component of membrane, plastid thylakoid","","post-embryonic development, cellular process",708
"2","Sc_g00002: 60S ribosomal protein L30-like","Sc_g00002"," cytosolic large ribosomal subunit","RNA binding, structural constituent of ribosome"," translation",336
"3","Sc_g00003: probable apyrase 2","Sc_g00003","integral component of membrane"," hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","",1014
"4","Sc_g00004: P-loop NTPase domain-containing protein LPA1 homolog 2-like","Sc_g00004","","","",3658
"5","Sc_g00005: Retrovirus-related Pol polyprotein from transposon TNT 1-94","Sc_g00005","retrotransposon nucleocapsid"," catalytic activity","",615
"6","Sc_g00006: protein Jade-1","Sc_g00006","nucleus"," methyltransferase activity, transferase activity, metal ion binding"," methylation",7014
"7","Sc_g00007: NADH dehydrogenase subunit 1 (mitochondrion)","Sc_g00007","mitochondrion, plasma membrane, integral component of membrane"," NADH dehydrogenase (ubiquinone) activity"," oxidation-reduction process",231
"8","Sc_g00008: ATPase family AAA domain-containing protein 3-B","Sc_g00008"," mitochondrion","ATP binding, zinc ion binding"," mitochondrion organization, cell division",2302
"9","Sc_g00008: ATPase family AAA domain-containing protein 3-B-like","Sc_g00008"," mitochondrion","ATP binding, zinc ion binding, hydrolase activity"," mitochondrion organization",2392
"10","Sc_g00009: ---NA---","Sc_g00009","","","",986
"11","Sc_g00010: serine/threonine-protein phosphatase PP2A catalytic subunit","Sc_g00010","","phosphoprotein phosphatase activity"," protein dephosphorylation",942
"12","Sc_g00011: LysM domain containing protein","Sc_g00011","membrane, integral component of membrane","","",2239
"13","Sc_g00012: beta-amylase 1, chloroplastic","Sc_g00012"," intracellular part"," beta-amylase activity, amylopectin maltohydrolase activity","polysaccharide catabolic process",2244
"14","Sc_g00013: probable sodium-coupled neutral amino acid transporter 6","Sc_g00013","membrane","","",1331
"15","Sc_g00014: ---NA---","Sc_g00014","","","",126
"16","Sc_g00015: chromatin assembly factor 1 subunit FAS1","Sc_g00015","nucleus, CAF-1 complex",""," nucleosome assembly",405
"17","Sc_g00016: nuclear pore complex protein NUP88","Sc_g00016"," nuclear pore"," protein binding, structural constituent of nuclear pore","ribosomal large subunit export from nucleus, ribosomal small subunit export from nucleus, systemic acquired resistance",2783
"18","Sc_g00017: tRNA wybutosine-synthesizing protein 4","Sc_g00017","cytoplasm, membrane"," protein C-terminal leucine carboxyl O-methyltransferase activity"," methylation, negative regulation of brassinosteroid mediated signaling pathway",1147
"19","Sc_g00018: UPF0664 stress-induced protein C29B12.11c","Sc_g00018"," nucleus, plasma membrane","transcription coactivator activity, chromatin DNA binding"," positive regulation of nucleic acid-templated transcription",456
"20","Sc_g00019: uncharacterized protein LOC112282391 isoform X2","Sc_g00019","","","",1854
"21","Sc_g00020: uncharacterized protein LOC112294457 isoform X3","Sc_g00020","","zinc ion binding","",474
"22","Sc_g00021: uncharacterized protein LOC112294457 isoform X3","Sc_g00021","","zinc ion binding","",234
"23","Sc_g00022: B3 domain-containing protein Os11g0197600-like","Sc_g00022","","DNA binding","",2013
"24","Sc_g00023: putative gluconeogenesis factor isoform X4","Sc_g00023","","","",1326
"25","Sc_g00024: Nucleoporin like","Sc_g00024","intracellular"," structural constituent of nuclear pore"," nucleocytoplasmic transport",6237
"26","Sc_g00025: ethylene-responsive transcription factor WIN1-like isoform X1","Sc_g00025"," nucleus","DNA binding, DNA-binding transcription factor activity"," regulation of transcription, DNA-templated",813
"27","Sc_g00026: low molecular mass early light-inducible protein HV90, chloroplastic-like","Sc_g00026","chloroplast, integral component of membrane","","",141
"28","Sc_g00027: lipid phosphate phosphatase 2-like","Sc_g00027"," integral component of membrane","phosphatidate phosphatase activity","",1662
"29","Sc_g00028: 40S ribosomal protein S15a-1","Sc_g00028"," cytosolic small ribosomal subunit","structural constituent of ribosome"," translation",498
"30","Sc_g00029: protein CHAPERONE-LIKE PROTEIN OF POR1, chloroplastic","Sc_g00029","chloroplast thylakoid, chloroplast envelope, plastid thylakoid membrane"," protein folding chaperone"," chloroplast organization, de-etiolation, chaperone-mediated protein folding",372
"31","Sc_g00030: protein CHAPERONE-LIKE PROTEIN OF POR1, chloroplastic-like","Sc_g00030"," chloroplast envelope, integral component of membrane, plastid thylakoid","","post-embryonic development, cellular process",336
"32","Sc_g00031: NAD(P)-binding Rossmann-fold superfamily protein","Sc_g00031","","catalytic activity, coenzyme binding","",402
"33","Sc_g00032: Membralin, putative","Sc_g00032","integral component of membrane","","",2417
"34","Sc_g00033: hypothetical protein PHYPA_026310","Sc_g00033","","","",588
"35","Sc_g00034: patatin-like protein 6","Sc_g00034",""," hydrolase activity","lipid catabolic process",1308
"36","Sc_g00035: activator of 90 kDa heat shock protein ATPase homolog 2 isoform X2","Sc_g00035","","ATPase activator activity, chaperone binding, Hsp90 protein binding"," positive regulation of ATPase activity",591
"37","Sc_g00036: integrator complex subunit 3 homolog isoform X1","Sc_g00036","","","",3270
"38","Sc_g00037: ---NA---","Sc_g00037","","","",207
"39","Sc_g00038: homoserine o-acetyltransferase","Sc_g00038","","transferase activity","",1035
"40","Sc_g00039: probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5, mitochondrial","Sc_g00039","mitochondrial respiratory chain complex I, chloroplast"," NADH dehydrogenase (ubiquinone) activity"," respiratory electron transport chain",731
"41","Sc_g00040: polyadenylate-binding protein 2-like isoform X1","Sc_g00040","","RNA binding","",534
"42","Sc_g00041: F-box protein At4g00755-like","Sc_g00041","","","",558
"43","Sc_g00042: ---NA---","Sc_g00042","","","",1026
"44","Sc_g00043: Mitochondrial inner membrane organizing system 1","Sc_g00043","MICOS complex","","",309
"45","Sc_g00044: ethylene-responsive transcription factor ERF016-like","Sc_g00044","","DNA-binding transcription factor activity"," regulation of transcription, DNA-templated",1399
"46","Sc_g00045: cytochrome c oxidase subunit 6a, mitochondrial","Sc_g00045"," mitochondrial respiratory chain complex IV","cytochrome-c oxidase activity, enzyme regulator activity"," mitochondrial electron transport, cytochrome c to oxygen, regulation of catalytic activity, proton transmembrane transport",482
"47","Sc_g00046: Rab5-interacting protein","Sc_g00046","integral component of membrane","","",369
"48","Sc_g00047: probable serine/threonine-protein kinase PBL7","Sc_g00047","","nucleotide binding, protein kinase activity","",603
"49","Sc_g00048: probable serine/threonine-protein kinase PBL7","Sc_g00048","","","",477
"50","Sc_g00049: ---NA---","Sc_g00049","","","",1168
"51","Sc_g00050: photosystem I reaction center subunit III, chloroplastic","Sc_g00050","chloroplast thylakoid membrane, photosystem I reaction center, chloroplast envelope, plastoglobule, integral component of membrane"," oxidoreductase activity, protein domain specific binding"," photosynthesis, oxidation-reduction process",633
"52","Sc_g00051: putative HVA22-like protein g isoform X1","Sc_g00051","membrane","","",828
"53","Sc_g00052: actin-interacting protein 1-2","Sc_g00052"," actin cytoskeleton, cytoskeletal part","protein binding"," cellular component organization",1325
"54","Sc_g00053: exocyst complex component SEC15A-like","Sc_g00053","exocyst, cytosol, membrane",""," Golgi to plasma membrane transport, vesicle docking involved in exocytosis, pollen germination, pollen tube growth, acceptance of pollen",2778
"55","Sc_g00054: uncharacterized protein LOC112283226","Sc_g00054","","","",354
"56","Sc_g00055: chaperone protein dnaJ A6, chloroplastic-like isoform X1","Sc_g00055","","ATP binding, heat shock protein binding, metal ion binding, unfolded protein binding"," protein folding, response to heat",1887
"57","Sc_g00056: LRR domain containing protein","Sc_g00056","","protein binding","",3219
"58","Sc_g00057: molybdenum cofactor sulfurase-like","Sc_g00057","","catalytic activity","",3721
"59","Sc_g00058: putative SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3-like 2 isoform X1","Sc_g00058",""," nucleic acid binding, ATP binding, zinc ion binding, hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","double-strand break repair via homologous recombination",4036
"60","Sc_g00059: NEDD8-activating enzyme E1 catalytic subunit","Sc_g00059","","NEDD8 activating enzyme activity"," protein neddylation",876
"61","Sc_g00060: suppressor of mec-8 and unc-52 protein homolog 1","Sc_g00060"," nucleus","protein binding"," RNA splicing",1599
"62","Sc_g00061: putative arginine decarboxylase","Sc_g00061",""," arginine decarboxylase activity","arginine catabolic process, spermidine biosynthetic process",1599
"63","Sc_g00062: probable LRR receptor-like serine/threonine-protein kinase At2g16250","Sc_g00062"," integral component of membrane","protein kinase activity, protein binding, ATP binding"," protein phosphorylation",3102
"64","Sc_g00063: U6 snRNA phosphodiesterase","Sc_g00063","","nuclease activity"," U6 snRNA 3'-end processing",582
"65","Sc_g00064: nitrate regulatory gene2 protein-like","Sc_g00064","","","cellular response to nitrate",3657
"66","Sc_g00065: psbP domain-containing protein 5, chloroplastic","Sc_g00065"," photosystem II oxygen evolving complex, extrinsic component of membrane","calcium ion binding"," photosynthesis",1028
"67","Sc_g00066: 30S ribosomal protein S1, chloroplastic","Sc_g00066","","nucleic acid binding","",717
"68","Sc_g00067: probable mediator of RNA polymerase II transcription subunit 26b","Sc_g00067","nucleus","","",2776
"69","Sc_g00067: probable mediator of RNA polymerase II transcription subunit 26b","Sc_g00067","nucleus","","",2990
"70","Sc_g00067: probable mediator of RNA polymerase II transcription subunit 26b","Sc_g00067","nucleus","","",2920
"71","Sc_g00067: probable mediator of RNA polymerase II transcription subunit 26b","Sc_g00067","nucleus","","",2365
"72","Sc_g00067: probable mediator of RNA polymerase II transcription subunit 26b","Sc_g00067","nucleus","","",2800
"73","Sc_g00067: probable mediator of RNA polymerase II transcription subunit 26b","Sc_g00067","nucleus","","",2601
"74","Sc_g00067: probable mediator of RNA polymerase II transcription subunit 26b","Sc_g00067","nucleus","","",2730
"75","Sc_g00067: probable mediator of RNA polymerase II transcription subunit 26b","Sc_g00067","nucleus","","",3733
"76","Sc_g00067: ---NA---","Sc_g00067","","","",630
"77","Sc_g00068: TPR-containing protein DDB_G0280363-like","Sc_g00068"," nucleus","DNA binding"," regulation of transcription, DNA-templated",1650
"78","Sc_g00069: uncharacterized protein LOC112277641 isoform X1","Sc_g00069","mitochondrion",""," defense response to virus",2540
"79","Sc_g00070: DNA mismatch repair protein PMS1 isoform X1","Sc_g00070"," mismatch repair complex","ATP binding, ATPase activity, mismatched DNA binding"," mismatch repair, multicellular organism development",1186
"80","Sc_g00071: exocyst complex component EXO70A1-like","Sc_g00071","exocyst",""," exocytosis, protein transport",1968
"81","Sc_g00072: 28S ribosomal protein S29, mitochondrial-like","Sc_g00072","ribosome","","",1857
"82","Sc_g00073: zinc finger CCCH domain-containing protein 20","Sc_g00073","","DNA binding, single-stranded RNA binding, protein binding, metal ion binding","",1341
"83","Sc_g00074: general transcription factor 3C polypeptide 2-like isoform X1","Sc_g00074","","protein binding","",2613
"84","Sc_g00075: ---NA---","Sc_g00075","","","",1866
"85","Sc_g00076: exportin-4 isoform X1","Sc_g00076","intracellular"," Ran GTPase binding"," intracellular protein transport",3853
"86","Sc_g00077: S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","Sc_g00077","","methyltransferase activity, transferase activity"," methylation",846
"87","Sc_g00078: DNA (cytosine-5)-methyltransferase DRM2","Sc_g00078","","methyltransferase activity"," methylation",645
"88","Sc_g00079: E3 ubiquitin protein ligase DRIP2-like","Sc_g00079","","ligase activity, metal ion binding","",852
"89","Sc_g00080: ---NA---","Sc_g00080","","","",210
"90","Sc_g00081: uncharacterized protein LOC112283283 isoform X1","Sc_g00081","","","",2334
"91","Sc_g00082: putative DD1A protein","Sc_g00082","","","",1254
"92","Sc_g00083: ribonuclease H-like","Sc_g00083","ESCRT II complex, membrane, integral component of membrane, clathrin adaptor complex"," nucleic acid binding, RNA-DNA hybrid ribonuclease activity"," intracellular protein transport, gravitropism, protein transport, vesicle-mediated transport, multivesicular body sorting pathway, RNA phosphodiester bond hydrolysis, endonucleolytic",177
"93","Sc_g00084: phosphoenolpyruvate carboxylase","Sc_g00084","cytosol"," phosphoenolpyruvate carboxylase activity"," tricarboxylic acid cycle, carbon fixation",1101
"94","Sc_g00085: serine/threonine-protein kinase SAPK10","Sc_g00085"," nucleus, cytoplasm","protein serine/threonine kinase activity, ATP binding"," protein phosphorylation, intracellular signal transduction",1730
"95","Sc_g00086: uncharacterized protein LOC112274595","Sc_g00086","","","",1497
"96","Sc_g00087: nuclear speckle RNA-binding protein A-like","Sc_g00087","","RNA binding","",843
"97","Sc_g00088: TPX2 family protein","Sc_g00088","spindle, microtubule",""," activation of protein kinase activity, regulation of mitotic spindle organization",2346
"98","Sc_g00089: ---NA---","Sc_g00089","","","",3784
"99","Sc_g00090: ---NA---","Sc_g00090","","","",1458
"100","Sc_g00091: inactive poly [ADP-ribose] polymerase RCD1-like","Sc_g00091","","NAD+ ADP-ribosyltransferase activity","",2122
"101","Sc_g00092: riboflavin kinase","Sc_g00092","","riboflavin kinase activity"," riboflavin biosynthetic process",618
"102","Sc_g00093: ---NA---","Sc_g00093","","","",1554
"103","Sc_g00093: probable inactive histone-lysine N-methyltransferase SUVR1","Sc_g00093","nucleus, chromosome"," methyltransferase activity, zinc ion binding, transferase activity, histone-lysine N-methyltransferase activity"," methylation, histone lysine methylation",747
"104","Sc_g00094: uncharacterized protein LOC112282017 isoform X2","Sc_g00094","","nucleic acid binding, zinc ion binding, metal ion binding","",5127
"105","Sc_g00095: cytochrome P450 71A1-like","Sc_g00095"," integral component of membrane","monooxygenase activity, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, heme binding"," oxidation-reduction process",948
"106","Sc_g00096: ---NA---","Sc_g00096","","","",255
"107","Sc_g00097: acidic leucine-rich nuclear phosphoprotein 32-related protein-like","Sc_g00097","","","",1785
