transcript_id,gene_desc
Sc_g00026,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g00517,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g00518,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g00944,"low molecular mass early light-inducible protein HV60, chloroplastic-like"
Sc_g00945,"low molecular mass early light-inducible protein HV60, chloroplastic-like"
Sc_g00946,"low molecular mass early light-inducible protein HV60, chloroplastic-like"
Sc_g00947,"low molecular mass early light-inducible protein HV60, chloroplastic-like"
Sc_g00948,"high molecular mass early light-inducible protein HV58, chloroplastic-like"
Sc_g01704,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g01999,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g02000,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g02009,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g02118,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g02119,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g02120,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g02124,"early light-induced protein, chloroplastic-like"
Sc_g02125,"early light-induced protein, chloroplastic-like"
Sc_g02126,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g02131,"early light-induced protein, chloroplastic-like"
Sc_g02132,"early light-induced protein, chloroplastic-like"
Sc_g03549,"early light-induced protein, chloroplastic-like"
Sc_g04789,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g04793,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g04799,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g04800,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g04801,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g05084,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g07017,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g09325,chloroplastic early light-induced protein
Sc_g09953,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g10301,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g10330,"early light-induced protein, chloroplastic-like"
Sc_g10331,"early light-induced protein, chloroplastic-like"
Sc_g11066,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
Sc_g15046,"low molecular mass early light-inducible protein HV90, chloroplastic-like"
